C, 1738, 1356
B, 1744, 2898
P, 1744, 0
D, 1744, 255
V, 1746, 2879
H, 1746, 0
C, 1746, 1430
V, 1750, 2879
H, 1750, 0
C, 1750, 1430
B, 1752, 2898
P, 1752, 0
D, 1752, 255
V, 1774, 2879
H, 1774, 0
C, 1774, 1430
B, 1776, 2898
P, 1776, 0
D, 1776, 255
V, 1798, 2879
H, 1798, 0
C, 1798, 1428
B, 1800, 2898
P, 1800, 0
D, 1800, 255
V, 1822, 2879
H, 1822, 0
C, 1822, 1428
B, 1824, 2898
P, 1824, 0
D, 1824, 255
B, 1828, 2898
P, 1828, 1
D, 1828, 21
V, 1830, 2879
H, 1830, 1
C, 1830, 1368
B, 1832, 2898
P, 1832, 0
D, 1832, 255
V, 1834, 2879
H, 1834, 0
C, 1834, 1428
V, 1846, 2879
H, 1846, 0
C, 1846, 1428
B, 1848, 2898
P, 1848, 0
D, 1848, 255
V, 1870, 2879
H, 1870, 0
C, 1870, 1428
B, 1872, 2898
P, 1872, 0
D, 1872, 255
V, 1886, 2879
H, 1886, 1
C, 1886, 1364
B, 1888, 2898
P, 1888, 1
D, 1888, 15
B, 1892, 2898
P, 1892, 0
D, 1892, 255
V, 1894, 2879
H, 1894, 0
C, 1894, 1430
B, 1896, 2898
P, 1896, 0
D, 1896, 255
V, 1918, 2879
H, 1918, 0
C, 1918, 1430
B, 1920, 2898
P, 1920, 0
D, 1920, 255
V, 1942, 2879
H, 1942, 0
C, 1942, 1428
B, 1944, 2898
P, 1944, 0
D, 1944, 255
V, 1966, 2879
H, 1966, 0
C, 1966, 1428
B, 1968, 2898
P, 1968, 0
D, 1968, 255
V, 1990, 2879
H, 1990, 0
C, 1990, 1428
B, 1992, 2898
P, 1992, 0
D, 1992, 255
V, 2014, 2879
H, 2014, 0
C, 2014, 1428
B, 2016, 2898
P, 2016, 0
D, 2016, 255
V, 2038, 2879
H, 2038, 0
C, 2038, 1428
B, 2040, 2898
P, 2040, 0
D, 2040, 255
V, 2062, 2879
H, 2062, 0
C, 2062, 1428
B, 2064, 2898
P, 2064, 0
D, 2064, 255
V, 2086, 2879
H, 2086, 0
C, 2086, 1428
B, 2088, 2898
P, 2088, 0
D, 2088, 255
V, 2110, 2879
H, 2110, 0
C, 2110, 1428
B, 2112, 2898
P, 2112, 0
D, 2112, 255
V, 2134, 2879
H, 2134, 0
C, 2134, 1428
B, 2136, 2898
P, 2136, 0
D, 2136, 255
V, 2158, 2879
H, 2158, 0
C, 2158, 1428
B, 2160, 2898
P, 2160, 0
D, 2160, 255
V, 2182, 2879
H, 2182, 0
C, 2182, 1428
B, 2184, 2898
P, 2184, 0
D, 2184, 255
V, 2206, 2879
H, 2206, 0
C, 2206, 1428
B, 2208, 2898
P, 2208, 0
D, 2208, 255
V, 2230, 2879
H, 2230, 0
C, 2230, 1428
B, 2232, 2898
P, 2232, 0
D, 2232, 255
B, 2248, 2898
P, 2248, 1
D, 2248, 25
V, 2254, 2879
H, 2254, 0
C, 2254, 1388
B, 2256, 2898
P, 2256, 0
D, 2256, 255
V, 2278, 2879
H, 2278, 0
C, 2278, 1428
B, 2280, 2898
P, 2280, 0
D, 2280, 255
V, 2302, 2879
H, 2302, 0
C, 2302, 1428
B, 2304, 2898
P, 2304, 0
D, 2304, 255
V, 2326, 2879
H, 2326, 0
C, 2326, 1428
B, 2328, 2898
P, 2328, 0
D, 2328, 255
V, 2350, 2879
H, 2350, 0
C, 2350, 1428
B, 2352, 2898
P, 2352, 0
D, 2352, 255
V, 2374, 2879
H, 2374, 0
C, 2374, 1428
B, 2376, 2898
P, 2376, 0
D, 2376, 255
V, 2398, 2879
H, 2398, 0
C, 2398, 1428
B, 2400, 2898
P, 2400, 0
D, 2400, 255
V, 2422, 2879
H, 2422, 0
C, 2422, 1428
B, 2424, 2898
P, 2424, 0
D, 2424, 255
V, 2446, 2879
H, 2446, 0
C, 2446, 1426
B, 2448, 2898
P, 2448, 0
D, 2448, 255
V, 2470, 2879
H, 2470, 0
C, 2470, 1426
B, 2472, 2898
P, 2472, 0
D, 2472, 255
V, 2494, 2879
H, 2494, 0
C, 2494, 1426
B, 2496, 2898
P, 2496, 0
D, 2496, 255
V, 2518, 2879
H, 2518, 0
C, 2518, 1426
B, 2520, 2898
P, 2520, 0
D, 2520, 255
V, 2542, 2879
H, 2542, 0
C, 2542, 1426
B, 2544, 2898
