3e-09	3e-08	2000	4000	2000	1.5e-12
1	-0.006	0.001	0.00100001	1.33762e-08	0.00100001	7.4516e-10
2	-0.008022	0.002	0.00200001	1.31732e-08	0.00200001	1.67014e-09
3	-0.0107254	0.003	0.00300001	1.30057e-08	0.00300001	2.44409e-09
4	-0.0143399	0.004	0.00400001	1.28658e-08	0.00400001	3.09554e-09
5	-0.0191724	0.005	0.00500001	1.27487e-08	0.00500001	3.63459e-09
6	-0.0256335	0.006	0.00600001	1.26501e-08	0.00600001	4.05783e-09
7	-0.034272	0.007	0.00700001	1.25657e-08	0.00700001	4.35986e-09
8	-0.0458217	0.008	0.00800001	1.24923e-08	0.00800001	4.56033e-09
9	-0.0612636	0.009	0.00900001	1.24281e-08	0.00900001	4.69495e-09
10	-0.0819094	0.01	0.01	1.23735e-08	0.01	4.79075e-09
11	-0.109513	0.011	0.011	1.23291e-08	0.011	4.86264e-09
12	-0.146419	0.012	0.012	1.22943e-08	0.012	4.91828e-09
13	-0.195762	0.013	0.013	1.22665e-08	0.013	4.96217e-09
14	-0.261734	0.014	0.014	1.22428e-08	0.014	4.99639e-09
15	-0.349938	0.015	0.015	1.22202e-08	0.015	5.02162e-09
16	-0.467867	0.016	0.016	1.21966e-08	0.016	5.03816e-09
17	-0.625538	0.017	0.017	1.21711e-08	0.017	5.0466e-09
18	-0.836344	0.018	0.018	1.21437e-08	0.018	5.04822e-09
19	-1.11819	0.019	0.019	1.21178e-08	0.019	5.04695e-09
20	-1.49502	0.02	0.02	1.21334e-08	0.02	5.08383e-09
3e-09	3e-08	2000	4000	2000	1.5e-12
1	-0.006	0.001	0.00100001	1.35074e-08	0	0.00100001
2	-0.008022	0.002	0.00200001	1.25081e-08	0.00200001	5.05622e-10
3	-0.0107254	0.003	0.00300001	1.2339e-08	0.00300001	1.51054e-09
4	-0.0143399	0.004	0.00400001	1.22021e-08	0.00400001	2.30336e-09
5	-0.0191724	0.005	0.00500001	1.20894e-08	0.00500001	2.90574e-09
6	-0.0256335	0.006	0.00600001	1.19953e-08	0.00600001	3.32106e-09
7	-0.034272	0.007	0.00700001	1.19155e-08	0.00700001	3.58144e-09
8	-0.0458217	0.008	0.00800001	1.18477e-08	0.00800001	3.74723e-09
9	-0.0612636	0.009	0.00900001	1.17916e-08	0.00900001	3.86216e-09
10	-0.0819094	0.01	0.01	1.17475e-08	0.01	3.94766e-09
11	-0.109513	0.011	0.011	1.17143e-08	0.011	4.01336e-09
12	-0.146419	0.012	0.012	1.16896e-08	0.012	4.06518e-09
13	-0.195762	0.013	0.013	1.16696e-08	0.013	4.1061e-09
14	-0.261734	0.014	0.014	1.16507e-08	0.014	4.13678e-09
15	-0.349938	0.015	0.015	1.16298e-08	0.015	4.1572e-09
16	-0.467867	0.016	0.016	1.16057e-08	0.016	4.16802e-09
17	-0.625538	0.017	0.017	1.15787e-08	0.017	4.17089e-09
18	-0.836344	0.018	0.018	1.15502e-08	0.018	4.16771e-09
19	-1.11819	0.019	0.019	1.15223e-08	0.019	4.16171e-09
20	-1.49502	0.02	0.02	1.15075e-08	0.02	4.16581e-09
3e-09	3e-08	2000	4000	2000	1.5e-12
1	-0.006	0.001	0.00100001	1.35838e-08	0.00100001	2.43544e-09
2	-0.008022	0.002	0.00200001	1.34617e-08	0.00200001	3.15756e-09
3	-0.0107254	0.003	0.00300001	1.33568e-08	0.00300001	3.77309e-09
4	-0.0143399	0.004	0.00400001	1.32656e-08	0.00400001	4.28507e-09
5	-0.0191724	0.005	0.00500001	1.31845e-08	0.00500001	4.68693e-09
6	-0.0256335	0.006	0.00600001	1.31121e-08	0.00600001	4.9762e-09
7	-0.034272	0.007	0.00700001	1.30487e-08	0.00700001	5.17532e-09
8	-0.0458217	0.008	0.00800001	1.29956e-08	0.00800001	5.31844e-09
9	-0.0612636	0.009	0.00900001	1.29531e-08	0.00900001	5.42905e-09
10	-0.0819094	0.01	0.01	1.29199e-08	0.01	5.51787e-09
11	-0.109513	0.011	0.011	1.28928e-08	0.011	5.58824e-09
12	-0.146419	0.012	0.012	1.28687e-08	0.012	5.64201e-09
13	-0.195762	0.013	0.013	1.28444e-08	0.013	5.68079e-09
14	-0.261734	0.014	0.014	1.28173e-08	0.014	5.70574e-09
15	-0.349938	0.015	0.015	1.27866e-08	0.015	5.71856e-09
16	-0.467867	0.016	0.016	1.27522e-08	0.016	5.72123e-09
17	-0.625538	0.017	0.017	1.27159e-08	0.017	5.71652e-09
18	-0.836344	0.018	0.018	1.26798e-08	0.018	5.70769e-09
19	-1.11819	0.019	0.019	1.26521e-08	0.019	5.70309e-09
20	-1.49502	0.02	0.02	1.27065e-08	0.02	5.77766e-09
3e-09	3e-08	2000	4000	2000	1.5e-12
1	-0.006	0.001	0.00100002	1.71431e-08	0	0.00100002
2	-0.008022	0.002	0.00200001	1.46984e-08	0.00200001	5.35726e-13
3	-0.0107254	0.003	0.00300001	1.30192e-08	0.00300001	1.89394e-11
4	-0.0143399	0.004	0.00400001	1.28032e-08	0.00400001	1.08328e-09
5	-0.0191724	0.005	0.00500001	1.2656e-08	0.00500001	1.92548e-09
6	-0.0256335	0.006	0.00600001	1.2535e-08	0.00600001	2.55249e-09
7	-0.034272	0.007	0.00700001	1.24346e-08	0.00700001	2.97995e-09
8	-0.0458217	0.008	0.00800001	1.235e-08	0.00800001	3.24565e-09
9	-0.0612636	0.009	0.00900001	1.22777e-08	0.00900001	3.41147e-09
10	-0.0819094	0.01	0.01	1.22162e-08	0.01	3.52149e-09
11	-0.109513	0.011	0.011	1.21654e-08	0.011	3.59799e-09
12	-0.146419	0.012	0.012	1.21255e-08	0.012	3.65411e-09
13	-0.195762	0.013	0.013	1.20952e-08	0.013	3.69821e-09
